pt,ordersourcetype,user_count,bet_count
20260219,BINGO,13512,55444
20260219,CASINO,30648,211440
20260219,E-BINGO,13692,403193
20260219,FISHING,54043,1749577
20260219,LARO,30,31
20260219,Numeric Games,14367,70901
20260219,OSM,798,17236
20260219,POKER,127789,1014012
20260219,SLOT,654538,52314810
20260219,SPORT,18932,35864
20260219,Specialty Game,43401,247126
20260220,BINGO,14138,57451
20260220,CASINO,32834,221597
20260220,E-BINGO,14334,420647
20260220,FISHING,54031,1775480
20260220,LARO,44,49
20260220,Numeric Games,13523,65368
20260220,OSM,592,15150
20260220,POKER,130745,1031411
20260220,SLOT,676548,53791943
20260220,SPORT,23906,45989
20260220,Specialty Game,42770,248824
20260221,BINGO,17759,68240
20260221,CASINO,32923,221513
20260221,E-BINGO,14793,446201
20260221,FISHING,54275,1823414
20260221,LARO,550,629
20260221,Numeric Games,13704,67121
20260221,OSM,640,18471
20260221,POKER,133613,1061458
20260221,SLOT,715864,57512531
20260221,SPORT,21445,40780
20260221,Specialty Game,43159,262149
20260222,BINGO,13786,57914
20260222,CASINO,30571,210540
20260222,E-BINGO,13015,395476
20260222,FISHING,50303,1579897
20260222,LARO,35,36
20260222,Numeric Games,11857,60427
20260222,OSM,582,16476
20260222,POKER,131222,1070371
20260222,SLOT,665279,55316981
20260222,SPORT,22782,44480
20260222,Specialty Game,41044,251911
20260223,BINGO,13018,53778
20260223,CASINO,30551,205167
20260223,E-BINGO,12392,379024
20260223,FISHING,45426,1538052
20260223,LARO,26,26
20260223,Numeric Games,10352,53281
20260223,OSM,538,14790
20260223,POKER,128403,999310
20260223,SLOT,650542,50828420
20260223,SPORT,16171,27680
20260223,Specialty Game,35871,218549
20260224,BINGO,12916,56154
20260224,CASINO,29094,201476
20260224,E-BINGO,12331,375676
20260224,FISHING,43177,1536966
20260224,LARO,29,30
20260224,Numeric Games,10747,54547
20260224,OSM,538,16129
20260224,POKER,128628,1002232
20260224,SLOT,628583,49707987
20260224,SPORT,19573,33625
20260224,Specialty Game,34065,223284
20260225,BINGO,12871,53608
20260225,CASINO,30066,204360
20260225,E-BINGO,12504,375039
20260225,FISHING,43802,1486458
20260225,LARO,32,39
20260225,Numeric Games,8629,47202
20260225,OSM,796,17566
20260225,POKER,128443,983025
20260225,SLOT,675214,50828076
20260225,SPORT,13464,22424
20260225,Specialty Game,34585,236909
20260226,BINGO,5558,17164
20260226,CASINO,13147,68891
20260226,E-BINGO,5565,126283
20260226,FISHING,17748,494529
20260226,LARO,12,14
20260226,Numeric Games,2265,12130
20260226,OSM,456,7625
20260226,POKER,56072,271222
20260226,SLOT,294565,16456698
20260226,SPORT,1346,1640
20260226,Specialty Game,13215,68570
