pt,ordersourcetype,user_count,bet_count
20260127,BINGO,11604,51423
20260127,CASINO,30407,205443
20260127,E-BINGO,19594,380680
20260127,FISHING,74539,1706806
20260127,Numeric Games,3616,22952
20260127,OSM,479,13639
20260127,POKER,129342,1000590
20260127,SLOT,712700,54276621
20260127,SPORT,21414,40782
20260127,Specialty Game,41496,237209
20260128,BINGO,11495,50210
20260128,CASINO,29740,204087
20260128,E-BINGO,19503,386230
20260128,FISHING,70430,1658387
20260128,Numeric Games,2886,22479
20260128,OSM,477,13302
20260128,POKER,127400,983322
20260128,SLOT,682277,53353344
20260128,SPORT,28326,56405
20260128,Specialty Game,38845,232350
20260129,BINGO,11561,50004
20260129,CASINO,30096,206080
20260129,E-BINGO,19251,387450
20260129,FISHING,70329,1618162
20260129,Numeric Games,3150,21480
20260129,OSM,596,14654
20260129,POKER,125583,974677
20260129,SLOT,683768,53306176
20260129,SPORT,19687,37081
20260129,Specialty Game,37741,248628
20260130,BINGO,14657,61853
20260130,CASINO,32225,223863
20260130,E-BINGO,20065,423566
20260130,FISHING,69669,1780760
20260130,Numeric Games,3494,24718
20260130,OSM,568,14233
20260130,POKER,128921,989384
20260130,SLOT,685903,55487896
20260130,SPORT,28648,57058
20260130,Specialty Game,38595,258590
20260131,BINGO,13081,58346
20260131,CASINO,32778,227901
20260131,E-BINGO,21149,440759
20260131,FISHING,73846,1878711
20260131,Numeric Games,3405,25559
20260131,OSM,644,16730
20260131,POKER,133276,1039874
20260131,SLOT,707186,59040747
20260131,SPORT,26153,55748
20260131,Specialty Game,39290,265820
20260201,BINGO,13106,58250
20260201,CASINO,33408,238240
20260201,E-BINGO,14370,446399
20260201,FISHING,48792,1848299
20260201,Numeric Games,3663,26146
20260201,OSM,604,19558
20260201,POKER,138500,1097264
20260201,SLOT,718750,59934456
20260201,SPORT,27813,57622
20260201,Specialty Game,36418,266691
20260202,BINGO,12381,55466
20260202,CASINO,33163,242392
20260202,E-BINGO,12604,411010
20260202,FISHING,74281,1856653
20260202,Numeric Games,4887,29084
20260202,OSM,614,17483
20260202,POKER,154102,1088678
20260202,SLOT,682074,55239699
20260202,SPORT,21454,40777
20260202,Specialty Game,34157,243074
20260203,BINGO,12619,57124
20260203,CASINO,32326,233187
20260203,E-BINGO,12837,414918
20260203,FISHING,111282,2023467
20260203,Numeric Games,5072,34442
20260203,OSM,571,16454
20260203,POKER,134229,1033306
20260203,SLOT,675024,53737306
20260203,SPORT,22378,44241
20260203,Specialty Game,39265,250764
20260204,BINGO,12828,57725
20260204,CASINO,34621,242602
20260204,E-BINGO,13416,405107
20260204,FISHING,96533,2083010
20260204,Numeric Games,6018,34749
20260204,OSM,908,19945
20260204,POKER,130737,1011982
20260204,SLOT,723688,54453626
20260204,SPORT,22384,42334
20260204,Specialty Game,42057,256456
20260205,BINGO,12907,58304
20260205,CASINO,33227,233533
